label,company,address,city,state,zip,phone,fax,toll-free,website,description,employees,sales-volume,established,first-name-1,last-name-1,title-1,gender-1,first-name-2,last-name-2,title-2,gender-2,first-name-3,last-name-3,title-3,gender-3,first-name-4,last-name-4,title-4,gender-4,first-name-5,last-name-5,title-5,gender-5,first-name-6,last-name-6,title-6,gender-6,first-name-7,last-name-7,title-7,gender-07,first-name-08,last-name-8,title-8,gender-8,first-name-9,last-name-9,title-9,gender-9,first-name-10,last-name-10,title-10,gender-10,first-name-11,last-name-11,title-11,gender-11,first-name-12,last-name-12,title-12,gender-12,first-name-13,last-name-13,title-13,gender-13,first-name-14,last-name-14,title-14,gender-14,first-name-15,last-name-15,title-15,gender-15,first-name-16,last-name-16,title-16,gender-16,first-name-17,last-name-17,title-17,gender-17,first-name-18,last-name-18,title-18,gender-18,first-name-19,last-name-19,title-19,gender-19,first-name-20,last-name-20,title-20,gender-20,first-name-21,last-name-21,title-21,gender-21,first-name-22,last-name-22,title-22,gender-22,first-name-23,last-name-23,title-23,gender-23,first-name-24,last-name-24,title-24,gender-24,first-name-25,last-name-25,title-25,gender-25,first-name-26,last-name-26,title-26,gender-26,first-name-27,last-name-27,title-27,gender-27,first-name-28,last-name-28,title-28,gender-28,first-name-29,last-name-29,title-29,gender-29,first-name-30,last-name-30,title-30,gender-30,first-name-31,last-name-31,title-31,gender-31,first-name-32,last-name-32,title-32,gender-32,first-name-33,last-name-33,title-33,gender-33,first-name-34,last-name-34,title-34,gender-34,first-name-35,last-name-35,title-35,gender-35,first-name-36,last-name-36,title-36,gender-36,first-name-37,last-name-37,title-37,gender-37,first-name-38,last-name-38,title-38,gender-38,first-name-39,last-name-39,title-39,gender-39,first-name-40,last-name-40,title-40,gender-40,first-name-41,last-name-41,title-41,gender-41,first-name-42,last-name-42,title-42,gender-42,first-name-43,last-name-43,title-43,gender-43,first-name-44,last-name-44,title-44,gender-44,first-name-45,last-name-45,title-45,gender-45,first-name-46,last-name-46,title-46,gender-46,first-name-47,last-name-47,title-47,gender-47,first-name-48,last-name-48,title-48,gender-48,first-name-49,last-name-49,title-49,gender-49,first-name-50,last-name-50,title-50,gender-50
zink-imaging-mfg,Zink Imaging Mfg,6900 Konica Dr,Whitsett,NC,27377,3364498000,3364497554,,,"Zink Imaging Manufacturing Is A Manufacturing Facility Of Zink Imaging, Which Is One Of The Leading Digital Printing Solutions Providers IN The United States. Founded IN 2005, The Parent Company Employs A Team Of Chemists, Physicists, Engineers, Marketers, Image Scientists And Business Development Professionals. Its Zink Technology Is A Way Of Printing IN Full Color Without The Use Of Ink Cartridges And Ribbons. Zink Imaging S Zink Paper Is An Advanced Composite Material With Cyan, Yellow And Magenta Dye Crystals Embedded Inside And A Protective Polymer Overcoat Layer Outside. The Parent Company Offers Paper IN Various Sizes, Formats And Finishes. Its Other Products Include Zink Mobile Extras, Image Templates And Image Enhancer.",360,"$55,970,000",1987,Bob,Harris,President,Male,Daisy,Smith,HR Executive,Female,Howard,Welborn,Finance Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zimmer-surgical,Zimmer Surgical,2021 Old Mountain Rd,Statesville,NC,28625,7048731001,7048731084,,,"Zimmer, A Wholly Owned Subsidiary Of Zimmer Holdings, Manufactures And Markets Orthopedic Surgical Products. Founded IN 1927, Zimmer Holdings Specializes IN The Design, Development, Manufacture And Marketing Of Dental Implants, Orthopedic Reconstructive Systems, And Spinal And Trauma Devices. The Parent Company Has Operations IN More Than 25 Countries And Sells Its Products IN Over 100 Countries. It Has Annual Sales Revenue Of Nearly $4 Billion And A Work Force Of Approximately 8,000 Employees. Zimmer Holdings Operates Manufacturing Facilities IN North Carolina, Minnesota, California And New Jersey, As Well As Switzerland And Ireland. It Markets Products Under The Zimmer, Gender Solutions, Nexgen, Legacy And Prolong Brand Names.",150,"$55,475,000",1981,George,Stanback,Operation Exec,Male,Beth,Abernathy,HR Executive,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
young-&-mcqueen-grading-co-inc,Young & Mcqueen Grading Co Inc,25 Crest View Rd,Burnsville,NC,28714,8286827714,8286824145,,,"Established IN 1986, Young & Mcqueen Grading Company Is A Full-Service Construction Site Development Contractor. It Serves Clients IN The Industrial, Commercial And Residential Markets Throughout Western North Carolina And North Georgia. The Company Provides A Range Of Site Development Services, Including Site Clearing, Grading, Excavation, Asphalt Paving And Erosion Control. It Also Offers Installation Services For Concrete Curbs, Sidewalks, Brick Pavers, Retaining Walls, And Water, Sewer And Storm Drainage Systems. Young & Mcqueen Grading Company Employs A Staff Of Project Managers, Supervisors, Operators, Mechanics, Truck Drivers, Laborers And Foremen. The Company Has Completed Projects For The Buncombe Chamber Of Commerce, Caldwell Community College And Sugar Top Resort. Young & Mcqueen Grading Company Is Located IN Burnsville, N.C.",140,"$29,517,000",,Sam,Young,Owner,Male,Samuel K,Young,President,Male,Damien,Hollifield,Senior VP,Male,Damien S,Hollifie,Vice President,Male,Roy C,Weeks,Vice President,Male,Roy,Weeks,Director,Male,Willie,Weeks,General Mgr,Male,John,Anglin,Manager,Male,Justin,Canipe,Manager,Male,Earl,Tipton,HR Executive,Male,Earl,Tipton,Finance Exec,Male,Karen,Robinson,IT Executive,Female,Jerry,Layell,Purchase Exec,Male,Lisa,Mccurry,Marketing,Female,Karen,Robinson,Telecom Exec,Female,Kimberly,Young,Other,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yorkshire-americas-inc,Yorkshire Americas Inc,1602 N Main St,Lowell,NC,28098,7048249526,,,,,100,"$153,105,000",1961,Jay,Rowe,Mfg Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yank's-auto-paint-&-body-shop,Yank's Auto Paint & Body Shop,3218 Taylorsville Hwy,Statesville,NC,28625,7047754848,,,,"We Offer 3 Main Paint Services To Fit Your Needs And Budget These Do Not Include Any Extra Prep, Bodywork, Etc. We Offer Quality Spray IN Bedliners For A Fraction Of The Price We Take Great Pride IN Restoring A Vehicle, For The Very Essence Of The Word To 'restore.Is A Great Way Maintain OR Enhance The Value You Of Your Vehicle. You Got A Low Mileage Car With Bad Paint? Come See US For The Pro Service",214,"$37,315,000",,Matthew,Young,Other,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yale-residential-security-prod,Yale Residential Security Prod,1902 Airport Rd,Monroe,NC,28110,7042266211,,8004381951,Yaleresidential.Com,"Yale Residential Security Products Offers A Complete Range Of Products From The Artfully Designed, Finely Crafted Design Elements From Yale, To The Heavy-Duty Yh Collection From Yale Locksets And Leversets And The Economy-Oriented New Traditions From Yale. Yale Safeguards Its Customers' Piece Of Mind With A Lifetime Limited Mechanical And Finish Warranty For The Original Homeowner. Yale Locks Meet Durability Standards, Are Assured To Be Defect Free IN Mechanical Operation And Finish. There Are Multiple Finish Options IN All Its Product Categories. As One Of The Oldest International Brands, Yale Is Among The Best-Known And Most Respected Names IN The Lock Industry, With Millions Of Yale Locks IN Use Worldwide. Yale Is The Brand Behind Locks Of Every Design And Function IN More Than 125 Countries. Since 1840, Yale Locks Have Provided American Homes With Dependable Security.",100,$0,1840,Mark,Fish,Manager,Male,Leslie,Martin,HR Executive,Female,Scott,Crain,Operations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xpedx-llc,Xpedx LLC,4265 Trailer Dr,Charlotte,NC,28269,7045965554,7045965755,,Xpedx.Com,"A Subsidiary Of The International Paper Company, Xpedx Is Among The World S Largest Distributors Of Printing Papers And Graphic Supplies And Equipment. The Company Is A Major Supplier To Commercial Printers, Manufacturers, Facility Owners, Retailers And Global Transportation Businesses, As Well As Government Entities. It Also Provides The Full Scope Of Third-Party Logistics Services Under Its Xpedx Supply Chain Services Business, Which Provides Asset And Order Management, Business Integration, Warehousing And Distribution, Transportation Management, Reverse Logistics, Ocean Freight Services, Customs Brokerage And Supplier Relationship Management Solutions. Through Its Alliance With Paris-Based Geodis And Antalis, Xpedx Extends Internationally IN The Supply Of Paper And Packaging Products And Logistics Services. The Company Has One Of The Largest Business To Business E-Commerce Systems IN North America Anchored By Xpedx.Com, Which Handles Nearly 6 Million Transactions Annually. Additional Xpedx Ventures Include Cincinnati-Based Saalfeld Redistribution; Xpedx Printing Technologies, The Exclusive United States Distributor Of Ryobi-Branded Offset Printing Presses; Chicago-Based Xpedx Stores, A Network Of More Than 150 Retail Paper And Graphics Stores; And Publishing Industry Suppliers Bulkley Dunton Publishing Group And Strategic Paper Group. Based IN The Cincinnati Suburb Of Loveland, Ohio, Xpedx Operates Approximately 260 Distribution Centers And Retail Stores Throughout North America, Including A Location IN Charlotte, N.C.",103,"$19,567,000",,Bill,Gravely,Manager,Male,Bill,Gravely,Exec Officer,Male,Leslie,Berger,HR Executive,Female,Steve,Giolitti,Sales Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wright-of-thomasville-inc,Wright Of THOMASVILLE Inc,5115 Prospect St,Thomasville,NC,27360,3364724200,3364768554,8006789019,Wrightglobalgraphics.Com,"Wright Of Thomasville, IN Business For More Than 40 Years, Is A Full-Service Printing Company Located IN Thomasville, N.C. Its Products Include Banners, Brochures, Domed Labels, Fabric Labels, Hangtags, Posters, Prime Labels, Point-Of-Purchase Displays And Wearables. Its Services Include Design, Prepress, Printing, Finishing And Fulfillment. IN Addition To Its Thomasville Office, Wright Has A Location IN Dalton, Ga.",100,"$4,927,000",1961,Greg,Wright,President,Male,Douglas,Floyd,Vice President,Male,Ronald E,Wright,Vice President,Male,Willialm D,Wright Jr,Chairman,Male,Doug,Floyd,COO,Male,David,Harris,HR Executive,Male,Kim,Grub,Sales Exec,Female,Ron,Wright,Cmo,Male,Michael,Truhe,Marketing Exec,Male,Daryl,Booi,Finance Exec,Male,Jerry,Terbeck,Controller,Male,Chase,Mc Cord,IT Executive,Male,Doug,Wright,Operations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wright-corp,Wright Corp,333 Neils Eddy Rd,Riegelwood,NC,28456,9106551333,9106559671,,Silar.Com,,100,"$52,309,000",1959,Jimmy,Strickland,IT Executive,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worthington-steel-co,Worthington Steel Co,PO Box 75333,Charlotte,NC,28275,7043335135,,,,,140,"$84,376,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
